Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
PSNY,Polestar Automotive Holding UK PLC Class A ADS,$17.10,0.03,0.176%,1316567851.00,Sweden,,89527,Industrials,Auto Manufacturing
PSNYW,Polestar Automotive Holding UK PLC Class C-1 ADS (ADW),$4.95,-0.27,-5.172%,381111746.00,Sweden,,1750,Industrials,Auto Manufacturing
PUK,Prudential Public Limited Company Common Stock,$27.78,-1.14,-3.942%,35492269182.00,United Kingdom,,1202565,Finance,Life Insurance
RACE,Ferrari N.V. Common Shares,$317.40,-6.18,-1.91%,74253995092.00,Italy,2015,510825,Industrials,Auto Manufacturing
SAN,Banco Santander S.A. Sponsored ADR (Spain),$10.65,-0.12,-1.114%,156759729593.00,Spain,,12607221,Finance,Commercial Banks
ST,Sensata Technologies Holding plc Ordinary Shares,$34.79,-0.74,-2.083%,5072366136.00,Netherlands,2010,1433380,Industrials,Industrial Machinery/Components
STLA,Stellantis N.V. Common Shares,$6.71,-0.04,-0.593%,19442112245.00,United Kingdom,2014,21095251,Industrials,Auto Manufacturing
TS,Tenaris S.A. American Depositary Shares,$58.29,-0.04,-0.069%,31601113036.00,Luxembourg,,2433211,Industrials,Steel/Iron Ore
TT,Trane Technologies plc,$410.23,3.10,0.761%,90796987388.00,Ireland,,1292903,Industrials,Auto Parts:O.E.M.
TX,Ternium S.A. Ternium S.A. American Depositary Shares (each representing ten shares USD1.00 par value),$38.76,0.13,0.337%,7770385573.00,Luxembourg,,115255,Industrials,Steel/Iron Ore
UBS,UBS Group AG Registered Ordinary Shares,$36.41,-0.85,-2.281%,250340995308.00,Switzerland,2014,2353328,Finance,Major Banks
WTW,Willis Towers Watson Public Limited Company Ordinary Shares,$282.18,-4.62,-1.611%,26678962909.00,United Kingdom,,559421,Finance,Specialty Insurers
XCH,XCHG Limited American Depositary Share,$1.23,0.08,6.957%,73125392.00,Germany,2024,15918,Industrials,Electrical Products
